Urban/Rural,Location,pm10 (μg/m³),pm10 (μg/m³),pm10 (μg/m³),pm2_5 (μg/m³),pm2_5 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),carbon_monoxide (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),nitrogen_dioxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),sulphur_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),ozone (μg/m³),ozone (μg/m³)
,,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std
Rural,Asawar,28.239144612814552,21.97930529640424,18.2516257737558,19.54523231564906,15.62566715257529,12.363512500472702,282.51651852132744,276.47217298347863,77.08713562322698,3.9009923005343707,3.8565004859086427,1.041863825467545,2.5211801305015245,2.1263281827016485,1.3240842948326206,81.48958860210737,78.2436307094265,20.942129557747815
Rural,Bhalukhop,28.239137719749618,21.974607603776153,18.251376439242318,19.545229039280414,15.630296615299144,12.36326154235556,282.51646051071333,276.48731096765175,77.08520314636905,3.9009940833699512,3.855666871211061,1.0418860129235372,2.521179858895236,2.1264101749271083,1.3240581296717329,81.48958155922737,78.23310950992624,20.94207988340114
Rural,Koonimedu,33.415704686898195,31.55607142857141,14.845786632792876,20.67151307802088,18.664464285714274,9.699452465263533,220.43537872366306,212.87321428571417,54.32515294418831,4.9941763090321345,4.657797619047616,2.7919209757065966,6.921516150372872,5.820595238095235,5.190160237137064,83.56228422483005,81.92797619047613,22.03399335489518
Rural,Mawlynnong,28.244259543560997,21.996309523809508,18.26277781758152,19.548381185807642,15.612797619047608,12.371022170054015,282.533642623716,276.43333333333317,77.11939807996629,3.9061263287366206,3.8578571428571404,1.047934782624403,2.524613858363857,2.1252380952380943,1.329928349621911,81.50242314874663,78.272619047619,20.969851506919415
Rural,Saputara,28.238957658599354,21.968861451791838,18.250666123998275,19.545225149961745,15.636497883997258,12.362819067115836,282.5163503823718,276.5137204385692,77.0820793915177,3.900997938342078,3.853763823409545,1.0419105363888506,2.5211795044824417,2.1264432052359057,1.3240050539263915,81.489568876106,78.21529333319707,20.94196886829568
Urban,Ahmedabad,28.23922171902946,21.989299319727863,18.252227340294368,19.545237715171513,15.618037414965968,12.36398337225713,282.5165868398638,276.4486904761901,77.09047276900705,3.9014750994414817,3.8571870748299273,1.042720400414052,2.5218830955459075,2.1257074829931946,1.3251359788314807,81.48959642831481,78.259506802721,20.942417316982162
Urban,Calcutta,28.23913180010666,21.971038484123618,18.25113467415969,19.54522670337883,15.634008058070997,12.363016241018931,282.5164038912212,276.5015575982221,77.08347876800339,3.900995962966282,3.8546728377726103,1.0418905420797389,2.521179673560369,2.126440133515791,1.3240309091498448,81.48957503115389,78.22347140318496,20.942018334074113
Urban,Chennai,37.75139786683902,35.765059523809505,16.51757253571514,23.454152930402916,21.530059523809513,10.698446948190504,261.7423934317315,252.53511904761888,64.13851721466116,10.556398495295548,9.881428571428565,5.399695239922484,11.399202982475034,10.175059523809518,6.860751535925073,80.42493939883641,80.72857142857139,23.50322576677548
Urban,Delhi,115.95184007577384,109.92202380952374,49.079892434276076,67.65049199166842,59.7773214285714,31.151253972960546,965.3326083638578,853.5059523809518,472.03505935332157,44.44045599008832,40.01232142857141,20.07023805001515,36.53196118832146,32.661547619047596,16.571270172569903,80.34494855634557,79.43928571428566,20.679400557883636
Urban,Shillong,28.23895306764662,21.968741461127294,18.25049182800479,19.545224048356967,15.638916886132268,12.362639479316341,282.5162992958221,276.5248285001944,77.08083704673194,3.9009999427205417,3.853077149644214,1.0419295829258401,2.521179337057949,2.1263519098747317,1.3239801714562687,81.48956302590494,78.20789123979522,20.941906492024312
